Campanha,Dia,Cidade (local geográfico),Tipo de campanha,Código da moeda,Cliques,Impr.,CTR,CPC médio,Custo,Conversões,Custo / conv.,Taxa de conv.
[download]Manutencao_Novembro,2021-11-29,Seabra,App,BRL,6,25,"0,24","0,26","1,56",4,"0,39","0,67"
[download]Manutencao_Novembro,2021-11-16,Leme,App,BRL,1,34,"0,03","0,41","0,41",1,"0,41","1,00"
[download]Manutencao_Novembro,2021-11-16,Paulista,App,BRL,1,170,"0,01","0,3","0,3",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-18,Espírito Santo do Pinhal,App,BRL,0,14,"0,00",0,0,0,0,"0,00"
[download]BELO JARDIM/PE-Novembro,2021-11-19,Belo Jardim,App,BRL,34,661,"0,05","0,65","22,02",12,"1,83","0,35"
[download]Manutencao_Novembro,2021-11-19,Jandira,App,BRL,2,116,"0,02","0,17","0,33",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-19,Pirassununga,App,BRL,0,40,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-23,Alagoinhas,App,BRL,15,90,"0,17","0,36","5,45",6,"0,91","0,40"
[download]Manutencao_Novembro,2021-11-13,Cambé,App,BRL,1,9,"0,11","0,25","0,25",1,"0,25","1,00"
[download]Manutencao_Novembro,2021-11-21,Cambé,App,BRL,1,66,"0,02","0,44","0,44",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-15,Timbaúba,App,BRL,0,4,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-22,Timbaúba,App,BRL,0,10,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-21,Santo Antônio de Jesus,App,BRL,4,97,"0,04","0,36","1,45",3,"0,48","0,75"
[download]Manutencao_Novembro,2021-11-24,Santo Antônio de Jesus,App,BRL,6,174,"0,03","0,31","1,86",2,"0,93","0,33"
[download]Manutencao_Novembro,2021-11-12,Lorena,App,BRL,0,57,"0,00",0,0,0,0,"0,00"
[download]Manutencao_Novembro,2021-11-14,Cabo de Santo Agostinho,App,BRL,2,28,"0,07","1,39","2,78",1,"2,78","0,50"
[download]Manutencao_Novembro,2021-11-20,Paulo Afonso,App,BRL,10,63,"0,16","0,45","4,46",10,"0,45","1,00"
[download]Manutencao_Novembro,2021-11-24,Valença,App,BRL,3,62,"0,05","0,25","0,74",1,"0,74","0,33"
[download]Manutencao_Novembro,2021-11-18,Cabo de Santo Agostinho,App,BRL,1,159,"0,01","0,18","0,18",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-25,Ipirá,App,BRL,2,15,"0,13","0,27","0,55",2,"0,27","1,00"
[download]Manutencao_Novembro,2021-11-26,Aracaju,App,BRL,3,166,"0,02","0,4","1,21",2,"0,6","0,67"
[download]Manutencao_Novembro,2021-11-27,Cabo de Santo Agostinho,App,BRL,1,180,"0,01","0,19","0,19",0,0,"0,00"
[download]Manutencao_Novembro,2021-11-30,Ipirá,App,BRL,1,17,"0,06","0,46","0,46",1,"0,46","1,00"
[download]Manutencao_Novembro,2021-11-27,Feira de Santana,App,BRL,3,489,"0,01","0,3","0,9",1,"0,9","0,33"
[download]Manutencao_Novembro,2021-11-30,Seabra,App,BRL,1,12,"0,08","0,92","0,92",1,"0,92","1,00"
[download]Manutencao_Novembro,2021-11-21,Pirassununga,App,BRL,0,38,"0,00",0,0,0,0,"0,00"
