Nome da campanha,Nome do conjunto de anúncios,Dia,Região,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Alagoas,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,11,2424,3474,8.41,0.76,1.433168317,11,15,0.45379538,0.316637881,,,1506,512,,0.01642578,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Paraíba,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,11,1244,2114,6.30,0.57,1.699356913,10,12,0.803858521,0.520340587,,,841,249,,0.0253012,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,São Paulo (state),active,adset,Traffic||Branding geral||Dezembro,Cliques no link,6,660,1152,3.72,0.62,1.745454545,6,8,0.909090909,0.520833333,,,107,48,,0.0775,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Alagoas,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,6,472,805,2.18,0.36,1.705508475,6,6,1.271186441,0.745341615,,,152,62,,0.03516129,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Ceará,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,6,336,592,2.03,0.34,1.761904762,6,6,1.785714286,1.013513514,,,201,64,,0.03171875,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Piauí,active,adset,Traffic||Branding geral||Dezembro,,,100,188,0.43,,1.88,,0,0,,,,36,15,,0.02866667,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-26,Minas Gerais,active,adset,Traffic||Branding geral||Dezembro,,,0,2,0.00,,0,,0,0,,,,1,,,,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Goiás,active,adset,Traffic||Branding geral||Dezembro,,,70,111,0.33,,1.585714286,,0,0,,,,2,2,,0.165,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Bahia,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,28,3022,5164,15.56,0.56,1.708802118,27,35,0.893448048,0.542215337,,,1654,523,,0.02975143,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,Maranhão,active,adset,Traffic||Branding geral||Dezembro,,,58,98,0.33,,1.689655172,,1,0,,,,3,3,,0.11,2021-12-26,2021-12-26
