Nome da campanha,Nome do conjunto de anúncios,Dia,Idade,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,37,4152,7369,22.01,0.59,1.774807322,36,43,0.867052023,0.502103406,,,2441,750,,0.02934667,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,27,2244,3784,13.15,0.49,1.68627451,26,30,1.158645276,0.713530655,,,1073,345,,0.03811594,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,27,2546,4281,12.20,0.45,1.681461115,26,31,1.021209741,0.630693763,,,1318,445,,0.02741573,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-26,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,5,106,205,0.69,0.14,1.933962264,5,5,4.716981132,2.43902439,,,25,12,,0.0575,2021-12-26,2021-12-26
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-25,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,35,13834,18886,41.38,1.18,1.36518722,35,49,0.252999855,0.185322461,,,9362,2652,,0.01560441,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-25,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,392,560,1.73,0.58,1.428571429,3,3,0.765306122,0.535714286,,,177,80,,0.02162651,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-25,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,34,8305,11184,35.38,1.04,1.346658639,33,47,0.397350993,0.304005722,,,4310,1408,,0.02512959,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-25,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,85,19860,26012,65.07,0.77,1.309768379,79,119,0.397784491,0.326772259,,,12182,3572,,0.01821795,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-25,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,26,1872,3146,12.36,0.48,1.680555556,24,27,1.282051282,0.826446281,,,612,211,,0.0585782,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-25,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,22,2168,3580,11.92,0.54,1.651291513,21,25,0.968634686,0.61452514,,,1172,338,,0.03526627,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-25,45-54,active,adset,Traffic||Branding geral||Dezembro,,,88,144,0.48,,1.636363636,,0,0,,,,24,13,,0.03692308,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-25,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,45,3566,6379,23.59,0.52,1.788839035,44,49,1.233875491,0.705439724,,,1644,508,,0.04643701,2021-12-25,2021-12-25
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-24,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,41,5624,7422,35.32,0.86,1.31970128,37,49,0.657894737,0.552411749,,,2337,836,,0.0422488,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-24,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,30,3064,5356,22.81,0.76,1.748041775,30,32,0.979112272,0.560119492,,,995,371,,0.06148248,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-24,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,18,1462,2653,12.12,0.67,1.814637483,17,19,1.162790698,0.678477196,,,420,168,,0.07214286,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-24,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,17,1652,2911,11.33,0.67,1.762106538,17,20,1.02905569,0.583991755,,,578,219,,0.05173516,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-24,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,72,137,0.86,0.29,1.902777778,2,3,2.777777778,2.189781022,,,13,9,,0.09555556,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-24,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,256,366,2.17,1.09,1.4296875,2,2,0.78125,0.546448087,,,121,48,,0.04520833,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-24,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,44,9608,13230,42.00,0.95,1.376977519,40,69,0.416319734,0.332577475,,,3400,1212,,0.03465347,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-24,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,77,12896,17287,62.77,0.82,1.340493176,66,96,0.5117866,0.445421415,,,5300,1820,,0.03448901,2021-12-24,2021-12-24
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-23,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,18,5888,8371,32.00,1.78,1.421705163,17,29,0.288722826,0.215028073,,,1987,668,,0.04790419,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-23,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,51,9864,13782,62.33,1.22,1.397201946,49,59,0.49675588,0.370047889,,,3323,1344,,0.04637649,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-23,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,2,252,364,2.25,1.13,1.444444444,2,3,0.793650794,0.549450549,,,65,36,,0.0625,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-23,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,53,5420,7336,43.40,0.82,1.353505535,49,62,0.904059041,0.722464558,,,1746,712,,0.06095506,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-23,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,32,2678,5125,22.14,0.69,1.913741598,31,34,1.157580284,0.624390244,,,788,273,,0.0810989,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-23,45-54,active,adset,Traffic||Branding geral||Dezembro,,,62,142,0.72,,2.290322581,,0,0,,,,18,7,,0.10285714,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-23,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,15,1518,2831,10.12,0.67,1.864953887,14,19,0.92226614,0.52984811,,,365,141,,0.07177305,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-23,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,16,1410,2669,12.83,0.80,1.892907801,16,16,1.134751773,0.599475459,,,384,155,,0.08277419,2021-12-23,2021-12-23
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-22,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,20,1678,2929,9.90,0.50,1.745530393,19,20,1.132300358,0.682826903,,,382,180,,0.055,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-22,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,72,10393,14184,59.89,0.83,1.364764746,67,84,0.644664678,0.507614213,,,3833,1636,,0.03661025,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-22,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,38,5464,7129,37.59,0.99,1.304721816,37,46,0.67715959,0.533034086,,,1632,752,,0.04999035,2021-12-22,2021-12-22
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-22,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,33,7176,10157,37.71,1.14,1.415412486,33,48,0.459866221,0.324899084,,,2378,1108,,0.03403678,2021-12-22,2021-12-22
